axis	subject	key_fact	verdict	attribution	receipt
upstream_archive	IANA release directory	785 entries · 571 archives (276 tzdata · 246 tzcode · 48 bundles) · 214 sigs	indexed	upstream_archive	docs/iana-release-archive-ledger.md
upstream_archive	signature provenance	214/571 signature-backed (357 unsigned pre-signing-era); 55/55 signed-bundle+pilot GOODSIG	verified-subset	upstream_archive	reports/release-all/verified.tsv
upstream_archive	release-identity provenance	276 releases; the authoritative tags (filename + version file) NEVER disagree → 0 major contradictions. 2 minor (NEWS-changelog surface only, recorded as facts: 2019a upstream typo 'Release 20198'; 2026b NEWS lags at 2026a). 211 legacy_unstructured (filename-only era). The atlas release_id is provenance-grounded, not a single label.	multi-surface-consistent	upstream_archive	reports/release-metadata/RECEIPT-RELEASE-METADATA-1.md
upstream_archive	complete-bundle phase (RELEASE-ALL.TZDB.1)	48 signed tzdb-*.tar.lz bundles (2016g→2026b): 48/48 verified_combined_release — all GOODSIG (Eggert), all combined data+code, all internally identity-consistent (filename==version file), and all data BYTE-IDENTICAL to the standalone tzdata pair → behaviour inherits RELEASE-ALL.DATA.1's match. 0 identity contradictions; 0 data divergence.	verified-combined-release	upstream_archive	reports/release-all/RECEIPT-RELEASE-ALL-TZDB-1.md
upstream_data	all stable tzdata (1993→2026b)	276 releases compiled. DEFAULT UTF-8: 150 match · 66 ref-build-incompat · 60 source-shape-incompat · 0 divergent. +--legacy-latin1: 210 match. +--legacy-yearistype: 265 match · 11 deferred-footer. +--legacy-empty-footer: 276 match · 0 deferred · 0 divergent (PERPETUAL-EXPANSION.1) — every stable release replays under explicit modes (yearistype band vs a historical oracle)	match-where-both-build	zic_rs	reports/release-all/RECEIPT-RELEASE-ALL-DATA-1.md
upstream_data	behaviour divergence	1050/1050 default + 420/420 latin1-band + 371/371 yearistype+empty-footer-band behaviour-match; ZERO zic-rs behaviour divergence across 30 years	0-divergent	zic_rs	reports/release-all/data-gauntlet.tsv
reference_zic	yearistype breakpoint (≤2000e) — CLOSED 66/66	66 releases: pre-2000f tzdata uses Rule TYPE even/odd; current zic REMOVED -y/yearistype (tzcode 2020a) so it can't build them. YEARISTYPE.1 (--legacy-yearistype, internal predicates) + PERPETUAL-EXPANSION.1 (--legacy-empty-footer) → all 66/66 build and match an ADMITTED HISTORICAL ORACLE (old zic 2019c + yearistype.sh v7.4) over [1980,2037] (371/371 fixtures). Historical-source replay, NOT current-reference parity — reference zic still can't build them.	closed-by-historical-replay	bounded_legacy_source	reports/yearistype/RECEIPT-YEARISTYPE-1.md
zic_rs	perpetual year-parity footer (93b–94f) — CLOSED	11 releases (1993-94) had PERPETUAL even/odd rules (1990 max even/odd) → recurring tail not POSIX-footer-expressible. CLOSED by PERPETUAL-EXPANSION.1: --legacy-empty-footer emits the already-expanded explicit transitions (through RECUR_HI=2037) + an EMPTY footer, matching the oracle's behaviour over [1980,2037]. Footer-emission policy only; default still fails closed (ZIC001); CORE.1 byte-unchanged. Beyond-horizon freeze not claimed.	bounded_empty_footer_replay	bounded_legacy_source	reports/perpetual-expansion/RECEIPT-PERPETUAL-EXPANSION-1.md
zic_rs	failure-mode parity (DIAG-PARITY.1)	17 malformed/hostile fixtures vs reference zic: 14 class_exit_match (same diagnostic class + exit status) · 1 intentional_divergence (zic-rs finer ZIC014 vs generic 'unknown line type', T13.2) · 1 safer_no_partial (zic-rs writes no partial output where ref does, T9.3) · 1 warning_match · 0 DIVERGENT. zic-rs fails in the same CLASS as reference; every deviation is named + safer + intentional. (Class/severity/exit/side-effects compared; wording not.)	class-exit-match-or-safer	zic_rs	reports/diag-parity/RECEIPT-DIAG-PARITY-1.md
source_shape	source-profile parity (SOURCE-VARIANT.1)	zic-rs behaviour-matches reference zic on ALL major tzdb source profiles (2026b): DATAFORM main/vanguard/rearguard + backzone excluded/included — 8/8 fixtures each (incl. the backzone-sensitive America/Montreal), 0 divergent, 0 deferred, 0 unsupported. zic-rs normalises the 3 encodings to byte-identical output. Not main-only; vanguard's negative-SAVE/%z AND rearguard's nonnegative-SAVE expansion both match. Byte-diff = the documented slim/fat default.	all-profiles-behaviour-match	zic_rs	reports/source-variant/RECEIPT-SOURCE-VARIANT-1.md
source_shape	UTF-8/Latin-1 breakpoint (2008a–2012j) — CLOSED	60 releases were ISO-8859/Latin-1 pre-2013; CLOSED by LEGACY-SOURCE.1 — --legacy-latin1 admits Latin-1 in COMMENTS ONLY (semantics-bearing fields still fail closed) → all 60 move to match (420/420 fixtures, 0 divergent, verified vs reference zic). Default stays UTF-8-required (ZIC012)	closed-by-legacy-source	bounded_legacy_source	reports/release-all/RECEIPT-LEGACY-SOURCE-1.md
vendor_oracle	almalinux_9_x86_64	lineage=glibc_zic · zic (GNU libc) 2.34 · ships almalinux-tzdata-2026a-1.el9	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/almalinux_9_x86_64.json
vendor_oracle	alpine_3234_x86_64	lineage=tzcode_zic · zic (tzcode) 2026b · ships alpine-tzdata-2026b	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/alpine_3234_x86_64.json
vendor_oracle	archlinux_x86_64	lineage=tzcode_zic · zic (tzcode) 2026b · ships archlinux-tzdata-2026b-1	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/archlinux_x86_64.json
vendor_oracle	debian_13_x86_64	lineage=glibc_zic · zic (Debian GLIBC 2.41-12+deb13u3) 2.41 · ships debian-tzdata-2026b-0+deb13u1	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/debian_13_x86_64.json
vendor_oracle	dragonfly_642_x86_64	lineage=vendor_fork/none · unavailable · ships unknown_unmeasured	old-fork/no-zic	vendor_zic	research/.../receipts/dragonfly_642_x86_64.json
vendor_oracle	freebsd_14_x86_64	lineage=tzcode_zic · zic (tzcode) 2022g · ships freebsd-base-14.3	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/freebsd_14_x86_64.json
vendor_oracle	gentoo_20260531_x86_64	lineage=tzcode_zic · zic (tzcode) 2026a · ships gentoo-timezone-data-2026a	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/gentoo_20260531_x86_64.json
vendor_oracle	linux_glibc_host_x86_64	lineage=tzcode_zic · zic (tzcode) 2026b-dirty · ships 2026b	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/linux_glibc_host_x86_64.json
vendor_oracle	netbsd_101_x86_64	lineage=tzcode_zic · zic (tzcode) 2022g · ships 2026b-byte-witnessed	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/netbsd_101_x86_64.json
vendor_oracle	nixos_2511_x86_64	lineage=glibc_zic · zic (GNU libc) 2.40 · ships nixpkgs-tzdata-2026a	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/nixos_2511_x86_64.json
vendor_oracle	omnios_illumos_x86_64	lineage=tzcode_zic · zic (tzcode) 2025a · ships omnios-zoneinfo-2026.1	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/omnios_illumos_x86_64.json
vendor_oracle	openbsd_79_x86_64	lineage=vendor_fork/none · unavailable · ships openbsd-2023cgtz	old-fork/no-zic	vendor_zic	research/.../receipts/openbsd_79_x86_64.json
vendor_oracle	openindiana_hipster_20260430_x86_64	lineage=tzcode_zic · zic (tzcode) 2025a · ships openindiana-zoneinfo-2026.1	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/openindiana_hipster_20260430_x86_64.json
vendor_oracle	opensuse_leap_16_x86_64	lineage=tzcode_zic · zic (tzcode) 2025b · ships opensuse-timezone-2025b-160000.2.2	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/opensuse_leap_16_x86_64.json
