source_id	canonical_url	title	publisher	source_kind	evidence_strength	license_or_rights_note	quote_policy	archive_status	retrieval_date	claims_supported	failure_mode
S1	https://www.rfc-editor.org/info/rfc9636	The Time Zone Information Format (TZif)	IETF	RFC	primary_standard	ietf_trust_freely_available_summary_only	short_compliant_quote_only	captured	archived_2026-06-02	tzif_output_contract;tzif_validator_T15.4;leap_expiry_T11	RISK.TZIF.1
S2	https://www.rfc-editor.org/info/rfc8536	The Time Zone Information Format (TZif) [predecessor]	IETF	RFC	primary_standard	ietf_trust_freely_available_summary_only	short_compliant_quote_only	captured	archived_2026-06-02	tzif_format_history(obsoleted_by_9636)	cite_8536_as_current
S3	https://www.rfc-editor.org/info/rfc6557	Procedures for Maintaining the Time Zone Database (BCP 175)	IETF	RFC	primary_standard	ietf_trust_freely_available_summary_only	short_compliant_quote_only	captured	archived_2026-06-02	civil_time_authority_boundary	RISK.TIME.1
S4	https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap08.html	POSIX TZ env-var / footer grammar (IEEE Std 1003.1)	IEEE/The Open Group	standards_document	primary_standard	copyrighted_source_not_republished	link_only_or_existing_archive_only	captured	archived_2026-06-02	posix_footer_emission_parse	wrong_far_future_projection
S5	https://www.iana.org/time-zones	IANA Time Zone Database (data + code distribution)	IANA	IANA_release_artifact	primary_upstream_release	public_domain_tzdb_provenance_still_recorded	summary_only	captured	archived_2026-06-02	release_admission_matrix;compiled_data_source	admit_dirty_as_pristine
S6	https://github.com/eggert/tz	tz database source (tzcode zic.c, theory.html, NEWS)	tz project (Eggert et al.)	source_repository	primary_source_repository	public_domain_tzdb_provenance_still_recorded	summary_only	captured	archived_2026-06-02	reference_zic_semantics;zishrink;DATAFORM;backward/backzone	misread_source_sold_as_parity
S7	reports/t12_5a2-reference-admission.md	Admitted tzdb 2026b reference set (signature+sha256-pinned)	zic-rs (records IANA upstream)	project_internal_evidence	primary_upstream_release	own_work	full_internal	in_repo_hash_pinned	2026-06-02	CORE.1_source_identity;admission_discipline	generalise_2026b_to_unadmitted
S8	../zic-rs-vendor-oracle-lab/	vendor-oracle lab (17 rows / 19 receipts + provenance)	zic-rs	project_internal_evidence	reproducible_lab_evidence	own_work	full_internal	in_repo	2026-06-02	vendor_ecology;two_zic_lineages;lag_spectrum;packaging_axes	RISK.VENDOR.1
S9	/tmp/t9sweep.sh + milestone receipts	CORE.1 behaviour-match sweep (341/0/0, 1900..2040)	zic-rs	project_internal_evidence	reproducible_lab_evidence	own_work	full_internal	in_repo	2026-06-02	live_behaviour_claim	inflate_CORE.1_to_full_replacement
S10	https://docs.rs/jiff	Rust TZif consumers (Jiff / tz-rs / chrono-tz)	upstream crate authors	source_repository	primary_source_repository	summary_only	summary_only	captured	archived_2026-06-02	producer_not_datetime_library;reader_compat_context	market_as_datetime_library
S11	https://sourceware.org/glibc/	glibc (the glibc-zic lineage)	GNU C Library project	vendor_documentation	vendor_documentation	copyrighted_source_not_republished	link_only_or_existing_archive_only	captured	archived_2026-06-02	glibc_zic_lineage_context	assert_behaviour_from_docs_not_receipt
S12	https://cldr.unicode.org/	CLDR / Unicode (display names; Etc/Unknown)	Unicode Consortium	vendor_documentation	vendor_documentation	copyrighted_source_not_republished	link_only_or_existing_archive_only	captured	archived_2026-06-02	CLDR_boundary_non_claim	claim_display_name_territory
S13	https://data.iana.org/time-zones/tz-link.html	tz-link (upstream ecology map / boundary atlas)	IANA tz project (Eggert et al.)	upstream_ecology_index	primary_upstream_release	public_domain_page	short_quote_or_summary_ok	captured	archived_2026-06-02	ecology_scope_bounding_non_claims	claim_surface_contamination
